slug,generic_name,display_name,active_ingredient,salt,category,description,strengths,dosage_forms,routes,mechanism_of_action,pronunciation_en,key_suffix,verification_status
dipyridamole,Dipyridamole,Dipyridamole,Dipyridamole,Dipyridamole,Antiplatelets,"A phosphodiesterase inhibitor and adenosine reuptake blocker, combined with low-dose aspirin (Aggrenox) for secondary prevention of stroke, and used intravenously as a pharmacologic stress agent.",25 mg; 50 mg; 75 mg; 200 mg ER (combined with 25 mg aspirin); 10 mg/2 mL IV ampoule,Tablet; Extended-Release Capsule; Solution for Injection,Oral; Intravenous,"Inhibits the uptake of adenosine into erythrocytes, platelets, and endothelial cells, increasing extracellular adenosine concentrations; also inhibits cyclic nucleotide phosphodiesterases (PDE5 and PDE3), increasing intracellular cAMP and cGMP; blocks thromboxane A2 synthesis.",dye-peer-ID-a-mole,-amole,verified
tranexamic-acid,Tranexamic Acid (TXA),Tranexamic Acid Injection / Tablets,Tranexamic acid,Tranexamic acid,Hemostatics,"A synthetic lysine analogue antifibrinolytic that reversibly blocks plasminogen activation, widely used to prevent and treat massive hemorrhage in trauma, surgery, and heavy menstrual bleeding.",500 mg; 650 mg; 500 mg/5 mL IV ampoule; 1000 mg/10 mL IV ampoule,Film-coated Tablet; Solution for Injection,Oral; Intravenous; Topical,"Competitively and reversibly blocks the lysine-binding sites on plasminogen molecules, preventing plasminogen from binding to fibrin; inhibits the conversion of plasminogen to active plasmin and suppresses fibrin clot dissolution (fibrinolysis); at high concentrations, non-competitively inhibits plasmin.",tran-ex-AM-ik AS-id,-xamic,verified
aminocaproic-acid,Aminocaproic Acid (Epsilon-Aminocaproic Acid - EACA),Aminocaproic Acid Injection / Syrup,Aminocaproic acid,Aminocaproic acid,Hemostatics,"A synthetic lysine analogue antifibrinolytic that competitively inhibits plasminogen activation, used for hyperfibrinolytic bleeding, cardiac surgery, and dental procedures in hemophiliacs.",500 mg; 1000 mg; 250 mg/mL oral solution; 250 mg/mL (20 mL IV vial = 5 g),Tablet; Oral Solution; Solution for Injection,Oral; Intravenous,"Competitively inhibits plasminogen activators (tissue plasminogen activator and urokinase) and blocks the lysine-binding sites on plasminogen, preventing its conversion to active plasmin; at high concentrations, directly inhibits plasmin.",a-mee-noe-ka-PROE-ik AS-id,-caproic,verified
lansoprazole,Lansoprazole,Lansoprazole Delayed-Release,Lansoprazole,Lansoprazole,Gastrointestinal,"A substituted benzimidazole proton pump inhibitor (PPI) that suppresses gastric acid secretion, used for GERD, peptic ulcers, and H. pylori eradication.",15 mg; 30 mg; 30 mg orally disintegrating tablet (ODT),Delayed-Release Capsule; Orally Disintegrating Tablet,Oral,"Accumulates in the acidic secretory canaliculi of parietal cells and converts to active sulfenamide; irreversibly binds via disulfide bonds to the H+/K+-ATPase proton pump, blocking the final step of acid secretion.",lan-SOE-pra-zole,-prazole,verified
dexlansoprazole,Dexlansoprazole,Dexlansoprazole Dual Delayed Release,Dexlansoprazole,Dexlansoprazole,Gastrointestinal,"An R-enantiomer proton pump inhibitor featuring Dual Delayed Release (DDR) technology, providing two distinct drug releases over 24 hours and flexible dosing without regard to meals.",30 mg; 60 mg,Dual Delayed-Release Capsule,Oral,"Pure (R)-enantiomer of lansoprazole; selectively inhibits gastric H+/K+-ATPase in parietal cells; unique Dual Delayed Release formulation contains two types of enteric-coated granules: the first release occurs in the duodenum at pH 5.5 (1-2 hours post-dose), and the second release occurs in the distal ileum at pH 6.75 (4-5 hours post-dose).",dex-lan-SOE-pra-zole,-prazole,verified
ilaprazole,Ilaprazole,Ilaprazole,Ilaprazole,Ilaprazole,Gastrointestinal,"A novel third-generation proton pump inhibitor with an extended plasma half-life and non-enzymatic clearance, providing superior nocturnal acid suppression and minimal CYP2C19 drug interactions.",5 mg; 10 mg,Enteric-Coated Tablet,Oral,"Irreversibly inhibits the gastric parietal H+/K+-ATPase pump; contains a pyrrole ring substituent that prolongs binding to sulfhydryl groups on the enzyme, conferring slow dissociation and prolonged antisecretory action.",eye-LA-pra-zole,-prazole,verified
roxatidine,Roxatidine,Roxatidine Acetate Hydrochloride,Roxatidine acetate hydrochloride,Roxatidine acetate hydrochloride,Gastrointestinal,"A potent, competitive histamine H2-receptor antagonist with high oral bioavailability (95-100%) and zero antiandrogenic or CYP450 inhibitory actions, used for peptic ulcers and reflux esophagitis.",75 mg; 150 mg,Film-coated Tablet; Sustained-Release Capsule,Oral,"De-acetylated in the liver and small intestine to active roxatidine, which competitively and selectively blocks histamine H2 receptors on the basolateral membrane of gastric parietal cells; prevents histamine-induced adenylate cyclase activation and cAMP-mediated gastric acid secretion.",rox-A-ti-deen,-tidine,verified
cimetidine,Cimetidine,Cimetidine,Cimetidine,Cimetidine,Gastrointestinal,"The historical prototype histamine H2-receptor antagonist, characterized by potent CYP450 enzyme inhibition and antiandrogenic properties, now largely superseded by cleaner H2 blockers.",200 mg; 400 mg; 800 mg,Film-coated Tablet,Oral,"Competitively blocks histamine H2 receptors on parietal cells, reducing basal, nocturnal, and meal-stimulated gastric acid production; also binds to imidazole receptors and inhibits cytochrome P450 monooxygenases.",sye-MET-i-deen,-tidine,verified
levosulpiride,Levosulpiride,Levosulpiride,Levosulpiride,Levosulpiride,Gastrointestinal,"The levorotatory enantiomer of sulpiride with dual enteric dopamine D2-receptor antagonism and 5-HT4 receptor agonism, widely used in India for functional dyspepsia and diabetic gastroparesis.",25 mg; 75 mg SR; 25 mg/2 mL injection,Tablet; Sustained-Release Capsule; Solution for Injection,Oral; Intramuscular; Intravenous,"Selectively blocks enteric and central dopamine D2 receptors, removing the inhibitory effect of dopamine on gastrointestinal motility; concurrently acts as an agonist at 5-HT4 receptors on enteric cholinergic motor neurons, stimulating acetylcholine release from the myenteric plexus.",lee-voe-SUL-pi-ride,-sulpiride,verified
cinitapride,Cinitapride,Cinitapride Hydrogen Tartrate,Cinitapride hydrogen tartrate,Cinitapride hydrogen tartrate,Gastrointestinal,"A benzamide prokinetic with dual 5-HT4 agonism and 5-HT2 / D2 antagonism, used for functional dyspepsia and GERD with lower extrapyramidal risk than metoclopramide.",1 mg; 3 mg ER,Tablet; Extended-Release Tablet,Oral,"Stimulates gastrointestinal 5-HT4 receptors, promotes acetylcholine release from myenteric plexus neurons, and blocks inhibitory 5-HT2 and dopamine D2 receptors; enhances gastrointestinal motor coordination.",si-NI-ta-pride,-pride,verified
mosapride,Mosapride,Mosapride Citrate,Mosapride citrate,Mosapride citrate,Gastrointestinal,"A selective gastroprokinetic 5-HT4 receptor agonist completely devoid of dopamine D2 and 5-HT1/5-HT2 affinity, providing pure prokinetic relief without extrapyramidal or cardiac QT toxicities.",5 mg,Film-coated Tablet,Oral,"Selectively and potently stimulates 5-HT4 receptors on enteric cholinergic interneurons and motor neurons, stimulating intrinsic acetylcholine release from the myenteric plexus; lacks dopamine D2-receptor antagonist properties and does NOT block HERG potassium channels.",MOE-sa-pride,-pride,verified
granisetron,Granisetron,Granisetron Hydrochloride,Granisetron hydrochloride,Granisetron hydrochloride,Antiemetics,"A potent, highly selective second-generation 5-HT3 receptor antagonist with a 9-hour half-life, used to prevent nausea and vomiting from emetogenic chemotherapy and radiotherapy.",1 mg; 2 mg; 1 mg/mL IV ampoule; 3.1 mg/24h transdermal patch,Film-coated Tablet; Solution for Injection; Transdermal Patch,Oral; Intravenous; Transdermal,Selectively and competitively blocks serotonin 5-HT3 receptors on vagal afferents in the gastrointestinal tract and centrally in the chemoreceptor trigger zone (CTZ) and solitary tract nucleus (NTS); blocks peripheral and central serotonin emetic signaling.,gra-NI-se-tron,-setron,verified
palonosetron,Palonosetron,Palonosetron Hydrochloride,Palonosetron hydrochloride,Palonosetron hydrochloride,Antiemetics,"A potent second-generation 5-HT3 receptor antagonist with a 40-hour half-life and unique receptor allosteric binding, uniquely effective for both acute AND delayed chemotherapy-induced nausea and vomiting.",0.5 mg capsule; 0.25 mg/5 mL IV vial,Soft Gelatin Capsule; Solution for Injection,Oral; Intravenous,High-affinity competitive and allosteric 5-HT3 receptor antagonist (binds with 100-fold higher affinity than ondansetron and granisetron); induces 5-HT3 receptor internalization and cross-talk inhibition with substance P (NK1) pathways.,pa-loe-NOE-se-tron,-setron,verified
rolapitant,Rolapitant,Rolapitant Hydrochloride,Rolapitant hydrochloride,Rolapitant hydrochloride,Antiemetics,"A long-acting neurokinin-1 (NK1) receptor antagonist with an ultra-long 169-hour (7-day) half-life that does not inhibit CYP3A4, combined with a 5-HT3 antagonist and dexamethasone for highly emetogenic chemotherapy.",90 mg (two tablets = 180 mg),Film-coated Tablet,Oral,Selectively and competitively blocks substance P from binding to neurokinin-1 (NK1) receptors in the chemoreceptor trigger zone (CTZ) and solitary tract nucleus in the brainstem; does NOT inhibit or induce CYP3A4.,roe-LA-pi-tant,-pitant,verified
polyethylene-glycol,Polyethylene Glycol 3350 (PEG 3350),PEG 3350 Powder for Oral Solution,Polyethylene glycol 3350,Polyethylene glycol 3350,Gastrointestinal,"An unabsorbable, non-fermentable osmotic laxative that retains water in the intestinal lumen, serving as the gold standard first-line treatment for chronic constipation and bowel preparation.","17 g powder sachet; 119 g, 255 g, 510 g bulk powder bottles",Powder for Oral Solution,Oral,"High molecular weight linear polymer of ethylene glycol that forms hydrogen bonds with water molecules; remains entirely within the intestinal lumen without being absorbed, metabolized, or fermented by gut microbiota; creates an osmotic gradient that retains water inside the stool.",pol-ee-ETH-i-leen GLYE-kol,-glycol,verified
sodium-picosulfate,Sodium Picosulfate,Sodium Picosulfate Oral Solution / Drops,Sodium picosulfate,Sodium picosulfate,Gastrointestinal,"A locally acting stimulant laxative prodrug converted by colonic bacteria to active bis-(p-hydroxyphenyl)-pyridyl-2-methane (BHPM), used for constipation and bowel cleansing.",5 mg; 10 mg; 7.5 mg/mL oral drops,Tablet; Oral Drops; Powder for Oral Solution (with Magnesium Citrate),Oral,"Inert prodrug that traverses the stomach and small intestine unabsorbed; converted specifically in the colon by bacterial arylsulfatases into active bis-(p-hydroxyphenyl)-pyridyl-2-methane (BHPM); stimulates mucosal nerve endings (myenteric plexus), accelerating colonic peristalsis and reducing water absorption.",SOE-dee-um pye-koe-SUL-fate,-sulfate,verified
prucalopride,Prucalopride,Prucalopride Succinate,Prucalopride succinate,Prucalopride succinate,Gastrointestinal,"A first-in-class, highly selective 5-HT4 receptor agonist that stimulates high-amplitude propagating contractions (HAPCs), serving as the premier enterokinetic agent for chronic idiopathic constipation.",1 mg; 2 mg,Film-coated Tablet,Oral,Selectively and potently binds to 5-HT4 receptors on enteric neurons (with >150-fold selectivity over all other 5-HT and dopamine receptors); triggers proximal colonic high-amplitude propagating contractions (HAPCs) and enhances colonic mass movements.,proo-KAL-oh-pride,-pride,verified
linaclotide,Linaclotide,Linaclotide Capsules,Linaclotide,Linaclotide,Gastrointestinal,"A 14-amino acid synthetic peptide guanylate cyclase-C (GC-C) agonist that increases intestinal fluid secretion and decreases visceral pain, used for IBS with constipation (IBS-C).",72 mcg; 145 mcg; 290 mcg,Capsule,Oral,"Binds to and activates guanylate cyclase-C (GC-C) receptors on the luminal surface of intestinal enterocytes, elevating intracellular cyclic GMP (cGMP); cGMP activates CFTR (cystic fibrosis transmembrane conductance regulator), stimulating secretion of chloride and bicarbonate into the lumen, pulling water into the bowel; extracellular cGMP inhibits pain-sensing visceral nociceptive nerves.",li-na-KLOE-tide,-clotide,verified
lubiprostone,Lubiprostone,Lubiprostone Soft Gelatin Capsules,Lubiprostone,Lubiprostone,Gastrointestinal,"A bicyclic fatty acid prostaglandin E1 derivative that selectively activates type-2 chloride channels (ClC-2), stimulating mucosal fluid secretion for chronic constipation, IBS-C, and opioid constipation.",8 mcg; 24 mcg,Soft Gelatin Capsule,Oral,"Selectively activates type-2 chloride channels (ClC-2) on the apical membrane of human intestinal epithelial cells, triggering active chloride and passive sodium/water efflux into the intestinal lumen; promotes mucosal healing and restores tight junction barrier integrity.",loo-bi-PROS-tone,-prostone,verified
racecadotril,Racecadotril (Acetorphan),Racecadotril Capsules / Sachets,Racecadotril,Racecadotril,Gastrointestinal,"An oral enkephalinase inhibitor prodrug that prevents the breakdown of endogenous enkephalins, acting as a pure antisecretory antidiarrheal without slowing intestinal transit or causing rebound constipation.",10 mg sachet; 30 mg sachet; 100 mg capsule,Capsule; Oral Granules Sachet,Oral,"Prodrug rapidly hydrolyzed by systemic esterases to thiorphan, an active inhibitor of neutral endopeptidase (enkephalinase); prevents the degradation of endogenous opioid enkephalins in the intestinal mucosal wall; elevated enkephalins activate delta-opioid receptors, selectively suppressing cholera toxin- and rotavirus-induced hypersecretion of water and electrolytes.",ra-se-KA-doe-tril,-cadotril,verified
dicyclomine,Dicyclomine (Dicycloverine),Dicyclomine Hydrochloride,Dicyclomine hydrochloride,Dicyclomine hydrochloride,Gastrointestinal,"A dual-action anticholinergic and direct smooth muscle relaxant antispasmodic, used for intestinal colic, biliary colic, and abdominal cramping in irritable bowel syndrome.",10 mg; 20 mg; 10 mg/5 mL syrup; 10 mg/mL injection,Tablet; Capsule; Oral Syrup; Solution for Injection,Oral; Intramuscular,"Acts via a dual mechanism: competitively antagonizes muscarinic M1, M2, and M3 acetylcholine receptors on visceral smooth muscle, AND exerts a direct, non-competitive musculotropic spasmolytic effect on smooth muscle fibers.",dye-SYE-kloe-meen,-mine,verified
drotaverine,Drotaverine,Drotaverine Hydrochloride,Drotaverine hydrochloride,Drotaverine hydrochloride,Gastrointestinal,"A selective phosphodiesterase-4 (PDE4) inhibitor antispasmodic that relaxes visceral smooth muscle without anticholinergic side effects, widely used for biliary, renal, and gastrointestinal colic.",40 mg; 80 mg; 40 mg/2 mL IV/IM ampoule,Tablet; Solution for Injection,Oral; Intramuscular; Intravenous,"Selectively inhibits phosphodiesterase type 4 (PDE4) in visceral smooth muscle cells, preventing cyclic AMP (cAMP) breakdown; elevated intracellular cAMP phosphorylates myosin light-chain kinase (MLCK), inactivating it and causing smooth muscle relaxation; completely lacks antimuscarinic activity.",droe-TAV-e-reen,-averine,verified
mebeverine,Mebeverine,Mebeverine Hydrochloride,Mebeverine hydrochloride,Mebeverine hydrochloride,Gastrointestinal,"A musculotropic antispasmodic with dual sodium-channel blocking and intracellular calcium store-depleting actions, specifically normalizing colonic motility in irritable bowel syndrome without systemic anticholinergic effects.",135 mg; 200 mg SR,Tablet; Modified-Release Capsule,Oral,Exerts a direct musculotropic antispasmodic action on gastrointestinal smooth muscle cells: blocks voltage-operated fast sodium channels (inhibiting spasm) AND inhibits calcium influx and intracellular calcium release from sarcoplasmic reticulum; also blocks noradrenaline reuptake locally.,me-BEV-er-een,-verine,verified
otilonium-bromide,Otilonium Bromide,Otilonium Bromide,Otilonium bromide,Otilonium bromide,Gastrointestinal,"A quaternary ammonium antispasmodic with dual L-type calcium channel and tachykinin NK2 receptor antagonism, acting locally in the gut lumen with near-zero systemic absorption for IBS.",40 mg,Film-coated Tablet,Oral,"Triple action: blocks L-type and T-type voltage-gated calcium channels in intestinal smooth muscle cells, antagonizes tachykinin neurokinin-2 (NK2) receptors, and mildly antagonizes muscarinic M3 receptors in the colon wall.",oh-ti-LOE-nee-um BROE-mide,-ium,verified
chlordiazepoxide-clidinium,Chlordiazepoxide and Clidinium Bromide (Librax),Chlordiazepoxide 5 mg + Clidinium 2.5 mg Capsules,Chlordiazepoxide and clidinium bromide,Chlordiazepoxide hydrochloride and clidinium bromide,Gastrointestinal,"A synergistic fixed-dose combination of a central anxiolytic benzodiazepine and a peripheral anticholinergic antispasmodic, used for stress-triggered irritable bowel syndrome and peptic ulcer disease.",5 mg chlordiazepoxide + 2.5 mg clidinium bromide,Capsule,Oral,"Chlordiazepoxide enhances GABA-A receptor opening frequency in the limbic system, dampening brain-gut stress axis activation and central anxiety; clidinium bromide competitively blocks muscarinic M3 receptors on gastrointestinal smooth muscle and secretory glands, suppressing bowel spasms and gastric acid.",klor-dye-az-e-POX-ide kli-DI-nee-um,-poxide,verified
ursodeoxycholic-acid,Ursodeoxycholic Acid (UDCA / Ursodiol),Ursodeoxycholic Acid,Ursodeoxycholic acid,Ursodeoxycholic acid,Hepatology,"A naturally occurring hydrophilic tertiary bile acid that displaces toxic hydrophobic bile salts, serving as the gold standard first-line disease-modifying treatment for primary biliary cholangitis (PBC).",150 mg; 300 mg; 600 mg,Film-coated Tablet; Tablet,Oral,"Multiple hepatoprotective mechanisms: replaces toxic hydrophobic bile acids (cholic, deoxycholic, chenodeoxycholic acid) in the circulating bile acid pool; stimulates hepatobiliary secretion and bicarbonate secretion ('bicarbonate umbrella'); suppresses hepatocyte and cholangiocyte apoptosis; solubilizes cholesterol into liquid-crystalline mesophases, promoting dissolution of cholesterol gallstones.",ur-soe-dee-ox-ee-KOE-lik AS-id,-cholic,verified
obeticholic-acid,Obeticholic Acid (OCA),Obeticholic Acid,Obeticholic acid,Obeticholic acid,Hepatology,"A potent semi-synthetic farnesoid X receptor (FXR) agonist that suppresses bile acid synthesis and enhances biliary output, used for primary biliary cholangitis unresponsive to UDCA.",5 mg; 10 mg,Film-coated Tablet,Oral,"Binds directly and potently to the nuclear farnesoid X receptor (FXR) with 100-fold higher affinity than chenodeoxycholic acid; activation of FXR down-regulates cholesterol 7-alpha-hydroxylase (CYP7A1), the rate-limiting enzyme in bile acid synthesis, and up-regulates bile salt export pump (BSEP) and fibroblast growth factor 19 (FGF19).",oh-BET-i-KOE-lik AS-id,-cholic,verified
silymarin,Silymarin (Milk Thistle Extract),Silymarin Capsules / Tablets,"Silymarin (flavonolignans: silybin, silychristin, silydianin)",Silymarin extract,Hepatology,"A standardized botanical extract of Silybum marianum containing flavonolignans (silybin) with potent antioxidant, membrane-stabilizing, and antifibrotic hepatoprotective properties.",70 mg; 140 mg,Capsule; Film-coated Tablet,Oral,"Multiple hepatoprotective actions: scavenges free radicals, prevents lipid peroxidation of hepatocyte membranes, stimulates RNA polymerase I to accelerate ribosomal protein synthesis and liver regeneration, and inhibits nuclear factor-kappa B (NF-kB) to suppress inflammatory cytokines and hepatic stellate cell activation.",sil-i-MA-rin,-marin,verified
indacaterol,Indacaterol,Indacaterol Maleate Inhalation Powder,Indacaterol maleate,Indacaterol maleate,Respiratory,An ultra-long-acting beta-2 adrenergic agonist (ultra-LABA) providing fast-onset (5 minutes) and 24-hour bronchodilation for once-daily maintenance therapy in COPD.,75 mcg; 150 mcg; 300 mcg inhalation capsules,Dry Powder Inhaler (DPI) Capsule,Inhalation,"Selective agonist at beta-2 adrenergic receptors on bronchial smooth muscle; stimulates intracellular adenylate cyclase to convert ATP to cAMP, activating protein kinase A (PKA); reduces intracellular calcium and induces profound bronchial relaxation.",in-da-KA-ter-ol,-caterol,verified
vilanterol,Vilanterol,Vilanterol Trifenatate (in Breo / Anoro Ellipta),Vilanterol trifenatate,Vilanterol trifenatate,Respiratory,"An ultra-long-acting beta-2 agonist (ultra-LABA) with 24-hour bronchodilation, co-formulated with fluticasone furoate (Breo) or umeclidinium (Anoro) in the once-daily Ellipta dry powder inhaler.",25 mcg (co-formulated with fluticasone furoate or umeclidinium),Dry Powder Inhaler (Ellipta),Inhalation,"Highly selective, long-acting beta-2 adrenergic receptor agonist; stimulates intracellular adenylate cyclase, elevating cyclic AMP; relaxes bronchial smooth muscle and inhibits release of inflammatory mediators from mast cells.",vil-AN-ter-ol,-terol,verified
olodaterol,Olodaterol,Olodaterol Inhalation Solution (Striverdi Respimat),Olodaterol hydrochloride,Olodaterol hydrochloride,Respiratory,"A once-daily ultra-long-acting beta-2 agonist delivered via the propellant-free Respimat Soft Mist Inhaler, providing 24-hour bronchodilation for COPD.",2.5 mcg per actuation (dose = 2 puffs = 5 mcg),Inhalation Solution (Respimat Soft Mist Inhaler),Inhalation,"Highly selective and potent beta-2 adrenergic receptor agonist; binds with high affinity to human beta-2 receptors (241-fold higher selectivity over beta-1); stimulates adenylate cyclase, elevating cAMP and relaxing airway smooth muscle.",oh-loe-DA-ter-ol,-terol,verified
glycopyrronium,Glycopyrronium (Glycopyrrolate),Glycopyrronium Inhalation Powder / Injection,Glycopyrronium bromide,Glycopyrronium bromide,Respiratory,"A quaternary ammonium long-acting muscarinic antagonist (LAMA) with fast onset and high M3-receptor selectivity, used as once-daily maintenance for COPD and parenterally to reduce secretions.","50 mcg inhalation capsule (Seebri Breezhaler); 0.2 mg/mL IV/IM vial; 1 mg, 2 mg oral tablets",Inhalation Powder; Solution for Injection; Oral Tablet,Inhalation; Intravenous; Intramuscular; Oral,"Quaternary ammonium antimuscarinic agent; competitively and reversibly blocks muscarinic M3 receptors on airway smooth muscle cells, inhibiting acetylcholine-induced bronchoconstriction; dissociates significantly faster from M2 receptors than M3 receptors, ensuring prolonged bronchodilation without tachycardia.",glye-koe-pye-ROE-nee-um,-nium,verified
aclidinium,Aclidinium,Aclidinium Bromide Inhalation Powder (Tudorza Pressair),Aclidinium bromide,Aclidinium bromide,Respiratory,"A long-acting muscarinic antagonist (LAMA) rapidly hydrolyzed in human plasma by butyrylcholinesterase, providing potent local bronchodilation with near-zero systemic anticholinergic side effects.",400 mcg per actuation,Dry Powder Inhaler (Pressair / Genuair),Inhalation,"Competitively and reversibly inhibits muscarinic M3 receptors in airway smooth muscle, blocking acetylcholine-mediated bronchoconstriction; possesses prolonged residence time at M3 receptors, but is rapidly broken down by esterases once it enters systemic circulation.",ak-li-DI-nee-um,-nium,verified
umeclidinium,Umeclidinium,Umeclidinium Inhalation Powder (Incruse Ellipta),Umeclidinium bromide,Umeclidinium bromide,Respiratory,"A once-daily long-acting muscarinic antagonist (LAMA) delivered via the intuitive Ellipta dry powder inhaler, providing 24-hour bronchodilation for COPD maintenance.",62.5 mcg per actuation,Dry Powder Inhaler (Ellipta),Inhalation,"Long-acting muscarinic receptor antagonist (anticholinergic); competitively blocks acetylcholine from binding to muscarinic M3 receptors in bronchial smooth muscle cells, preventing calcium-dependent airway constriction.",oo-me-kli-DIN-ee-um,-dinium,verified
beclomethasone,Beclomethasone Dipropionate (BDP),Beclomethasone Dipropionate Inhaler,Beclomethasone dipropionate,Beclomethasone dipropionate,Respiratory,"A synthetic halogenated glucocorticoid prodrug rapidly bioactivated in the lungs to active 17-BMP, delivered in extrafine solution aerosols for persistent asthma and allergic rhinitis.",50 mcg; 100 mcg; 200 mcg per actuation (MDI); 50 mcg/actuation nasal spray,Pressurized Metered-Dose Inhaler (pMDI); Nasal Spray,Inhalation; Intranasal,"Prodrug rapidly hydrolyzed in lung tissue by carboxylesterases to beclomethasone-17-monopropionate (17-BMP), which binds with 30-fold higher affinity to glucocorticoid receptors; translocates to the nucleus, inhibiting NF-kB and AP-1 transcription factors; down-regulates pro-inflammatory cytokines, chemokines, and adhesion molecules while up-regulating anti-inflammatory lipocortin-1 (annexin A1).",bek-loe-METH-a-sone,-sone,verified
ciclesonide,Ciclesonide,Ciclesonide Inhalation Aerosol (Alvesco / Omnaris),Ciclesonide,Ciclesonide,Respiratory,"An on-site lung-activated steroid prodrug bioactivated in the bronchial epithelium with near-zero oral bioavailability (<1%), providing maximal asthma control with the lowest rates of oral thrush and hoarseness.",80 mcg; 160 mcg per actuation (Alvesco pMDI); 50 mcg/actuation nasal spray (Omnaris),Metered-Dose Inhaler (pMDI); Nasal Spray Suspension,Inhalation; Intranasal,"Inhaled as an inactive prodrug that is selectively cleaved by intracellular esterases in human lung tissue to active desisobutyryl-ciclesonide (des-CIC); des-CIC binds with 100-fold higher affinity to glucocorticoid receptors, suppressing pro-inflammatory gene transcription (NF-kB inhibition); des-CIC reversibly conjugates with intracellular fatty acids, forming a lipophilic depot that slowly releases active drug.",si-KLE-soe-nide,-sonide,verified
mometasone,Mometasone Furoate,Mometasone Furoate Inhalation Powder / Nasal Spray,Mometasone furoate,Mometasone furoate,Respiratory,"A potent synthetic 17-heterocyclic corticosteroid with negligible systemic bioavailability (<1%), widely used as a once-daily inhaled therapy for asthma and the premier topical spray for allergic rhinitis and nasal polyps.",100 mcg; 200 mcg per actuation (Twisthaler / pMDI); 50 mcg/actuation nasal spray (Nasonex); 0.1% topical cream/ointment (Elocon),Dry Powder Inhaler (Twisthaler); Pressurized Metered-Dose Inhaler; Nasal Spray; Topical Cream / Ointment,Inhalation; Intranasal; Topical,"High-potency glucocorticoid; binds with ultra-high affinity to human glucocorticoid receptors (significantly higher affinity than fluticasone, budesonide, and dexamethasone); suppresses multiple inflammatory genes via NF-kB and AP-1 inhibition; inhibits leukotriene and cytokine release from respiratory mucosal cells.",moe-MET-a-sone,-sone,verified
roflumilast,Roflumilast,Roflumilast Tablets,Roflumilast,Roflumilast,Respiratory,An oral once-daily selective phosphodiesterase-4 (PDE4) inhibitor that targets systemic and airway inflammation to reduce exacerbations in severe COPD associated with chronic bronchitis.,250 mcg (starter pack); 500 mcg,Film-coated Tablet,Oral,"Selectively and competitively inhibits phosphodiesterase-4 (PDE4), the predominant cAMP-metabolizing enzyme in immune and inflammatory cells (neutrophils, macrophages, CD8+ T cells, bronchial smooth muscle); elevates intracellular cyclic AMP (cAMP), suppressing pro-inflammatory cytokine and chemokine release.",roe-FLUE-mi-last,-milast,verified
doxofylline,Doxofylline,Doxofylline Tablets / Syrup,Doxofylline,Doxofylline,Respiratory,"A novel xanthine derivative with phosphodiesterase inhibitory and anti-inflammatory activity that lacks adenosine receptor affinity, providing bronchodilation with dramatically reduced cardiac and CNS toxicities compared to theophylline.",400 mg; 100 mg/5 mL syrup; 100 mg/5 mL injection,Film-coated Tablet; Oral Syrup; Solution for Injection,Oral; Intravenous,"Inhibits phosphodiesterase (PDE) enzymes, elevating intracellular cAMP in airway smooth muscle; CRITICALLY LACKS AFFINITY FOR ADENOSINE (A1, A2A, A2B) RECEPTORS and does NOT block calcium channels; suppresses inflammatory cell migration and reduces airway hyperreactivity.",dox-oh-FYE-leen,-fylline,verified
ambroxol,Ambroxol,Ambroxol Hydrochloride,Ambroxol hydrochloride,Ambroxol hydrochloride,Respiratory,"A secretolytic and secretomotor mucolytic agent that stimulates pulmonary surfactant production, clears viscous bronchial mucus, and possesses local anesthetic and anti-inflammatory properties.","30 mg; 75 mg SR; 15 mg/5 mL, 30 mg/5 mL syrup; 15 mg/2 mL ampoule",Tablet; Sustained-Release Capsule; Oral Syrup; Solution for Injection / Inhalation,Oral; Intravenous; Inhalation,"Cleaves acidic mucopolysaccharide fibers in bronchial mucus, fragmenting high-molecular-weight polymers; directly stimulates Clara cells and alveolar type II pneumocytes to synthesize and secrete pulmonary surfactant; enhances ciliary beat frequency (mucociliary clearance); blocks neuronal voltage-gated sodium channels, providing throat-soothing local anesthesia.",am-BROX-ol,-xol,verified
bromhexine,Bromhexine,Bromhexine Hydrochloride,Bromhexine hydrochloride,Bromhexine hydrochloride,Respiratory,"A classic benzylamine secretolytic mucolytic derived from the Indian plant Adhatoda vasica (Vasaka), metabolized in vivo to active ambroxol to liquefy tenaciously thick phlegm.",8 mg; 4 mg/5 mL syrup,Tablet; Oral Syrup,Oral,Derived from the alkaloid vasicine; hydrolyzed in vivo to its primary active metabolite ambroxol; depolymerizes mucopolysaccharide protein fibers and stimulates lysosomal enzyme release from mucus-secreting goblet cells; increases serous bronchial gland secretion.,brom-HEX-een,-hexine,verified
carbocisteine,Carbocisteine (Carbocysteine),Carbocisteine Capsules / Syrup,Carbocisteine,Carbocisteine,Respiratory,"A mucoregulatory agent that alters glycoprotein synthesis to restore the physiological balance of sialomucins and fucomucins, proven in the landmark PEACE study to reduce COPD exacerbations.","375 mg; 750 mg; 250 mg/5 mL, 750 mg/5 mL syrup",Capsule; Oral Syrup,Oral,"Acts intracellularly on bronchial goblet cells as a mucoregulator: stimulates sialyltransferase to increase the synthesis of fluid sialomucins while suppressing the production of thick, viscous fucomucins; restores normal viscoelastic properties of bronchial secretions without breaking disulfide bonds.",kar-boe-SIS-teen,-cisteine,verified
